X1,Z1,X3,Z3,X5,Z5,X7,Z7
2.96E-05,1.50E-05,-3.37E-05,-5.65E-05,-7.43E-06,-8.10E-06,1.26E-05,-9.54E-06
3.13E-05,1.72E-05,-3.43E-05,-5.30E-05,-5.01E-06,-8.70E-06,1.53E-05,-5.86E-06
3.21E-05,1.75E-05,-3.12E-05,-4.89E-05,-3.84E-06,-9.40E-06,1.82E-05,-1.62E-06
3.25E-05,1.63E-05,-2.55E-05,-4.44E-05,-3.84E-06,-1.02E-05,2.08E-05,2.21E-06
3.26E-05,1.40E-05,-1.85E-05,-4.05E-05,-4.75E-06,-1.09E-05,2.28E-05,4.73E-06
3.25E-05,1.08E-05,-1.16E-05,-3.78E-05,-6.25E-06,-1.16E-05,2.37E-05,5.20E-06
3.17E-05,7.06E-06,-5.87E-06,-3.67E-05,-7.95E-06,-1.21E-05,2.35E-05,3.18E-06
2.99E-05,2.68E-06,-1.75E-06,-3.73E-05,-9.39E-06,-1.27E-05,2.22E-05,-1.25E-06
2.64E-05,-2.48E-06,5.60E-07,-3.91E-05,-1.02E-05,-1.32E-05,2.05E-05,-7.37E-06
2.10E-05,-8.63E-06,1.17E-06,-4.16E-05,-9.97E-06,-1.39E-05,1.89E-05,-1.41E-05
1.37E-05,-1.57E-05,4.46E-07,-4.43E-05,-8.67E-06,-1.47E-05,1.81E-05,-2.02E-05
5.13E-06,-2.33E-05,-1.13E-06,-4.67E-05,-6.32E-06,-1.58E-05,1.82E-05,-2.47E-05
-3.63E-06,-3.05E-05,-3.03E-06,-4.86E-05,-3.18E-06,-1.73E-05,1.91E-05,-2.71E-05
-1.13E-05,-3.60E-05,-4.81E-06,-5.01E-05,4.69E-07,-1.92E-05,2.08E-05,-2.72E-05
-1.71E-05,-3.93E-05,-6.15E-06,-5.12E-05,4.44E-06,-2.12E-05,2.26E-05,-2.56E-05
-2.07E-05,-3.99E-05,-6.72E-06,-5.17E-05,8.63E-06,-2.30E-05,2.43E-05,-2.27E-05
-2.22E-05,-3.83E-05,-6.22E-06,-5.16E-05,1.30E-05,-2.39E-05,2.55E-05,-1.93E-05
-2.23E-05,-3.48E-05,-4.50E-06,-5.06E-05,1.77E-05,-2.35E-05,2.58E-05,-1.62E-05
-2.12E-05,-3.01E-05,-1.71E-06,-4.86E-05,2.24E-05,-2.18E-05,2.53E-05,-1.41E-05
-1.94E-05,-2.48E-05,1.89E-06,-4.58E-05,2.68E-05,-1.91E-05,2.43E-05,-1.34E-05
-1.72E-05,-1.95E-05,5.94E-06,-4.24E-05,3.05E-05,-1.59E-05,2.32E-05,-1.46E-05
-1.51E-05,-1.48E-05,1.02E-05,-3.90E-05,3.33E-05,-1.27E-05,2.27E-05,-1.77E-05
-1.33E-05,-1.10E-05,1.45E-05,-3.57E-05,3.52E-05,-9.46E-06,2.31E-05,-2.22E-05
-1.20E-05,-8.43E-06,1.89E-05,-3.29E-05,3.70E-05,-6.06E-06,2.46E-05,-2.74E-05
-1.12E-05,-6.80E-06,2.34E-05,-3.05E-05,3.94E-05,-1.98E-06,2.68E-05,-3.23E-05
-1.06E-05,-5.80E-06,2.79E-05,-2.84E-05,4.33E-05,3.04E-06,2.95E-05,-3.57E-05
-1.02E-05,-5.09E-06,3.24E-05,-2.65E-05,4.88E-05,8.85E-06,3.22E-05,-3.71E-05
-9.84E-06,-4.49E-06,3.68E-05,-2.44E-05,5.55E-05,1.49E-05,3.46E-05,-3.63E-05
-9.50E-06,-3.90E-06,4.10E-05,-2.18E-05,6.26E-05,2.03E-05,3.64E-05,-3.37E-05
-9.11E-06,-3.35E-06,4.45E-05,-1.87E-05,6.95E-05,2.45E-05,3.76E-05,-2.97E-05
-8.65E-06,-2.97E-06,4.71E-05,-1.52E-05,7.55E-05,2.73E-05,3.83E-05,-2.50E-05
-8.10E-06,-2.93E-06,4.81E-05,-1.20E-05,8.03E-05,2.86E-05,3.90E-05,-2.00E-05
-7.28E-06,-3.30E-06,4.71E-05,-9.46E-06,8.38E-05,2.85E-05,4.03E-05,-1.50E-05
-6.02E-06,-4.09E-06,4.39E-05,-8.00E-06,8.58E-05,2.71E-05,4.24E-05,-1.05E-05
-4.32E-06,-5.31E-06,3.85E-05,-7.74E-06,8.63E-05,2.49E-05,4.55E-05,-6.73E-06
-2.34E-06,-7.01E-06,3.13E-05,-8.52E-06,8.57E-05,2.21E-05,4.95E-05,-3.92E-06
